t,tag,z,bias,value
0.33636,rec,0,38229,1142
0.33663,rec,0,38229,1111
0.33692,rec,0,38229,1127
0.33721,rec,0,38229,1092
0.33751,rec,0,38229,1096
0.33779,rec,0,38229,1123
0.33844,rec,0,38229,1093
0.33874,rec,0,38229,1057
0.33901,rec,0,38229,1068
0.33929,rec,0,38229,1037
0.33957,rec,0,38229,1111
0.33986,rec,0,38229,1132
0.34015,rec,0,38229,1129
0.34048,rec,0,38229,1177
0.34076,rec,0,38229,1093
0.34104,rec,0,38229,1069
0.34134,rec,0,38229,1154
0.34163,rec,0,38229,1138
0.34193,rec,0,38229,1117
0.34221,rec,0,38229,1085
0.3425,rec,0,38229,1133
0.34277,rec,0,38229,1166
0.34311,rec,0,38229,1153
0.34347,rec,0,38229,1075
0.34375,rec,0,38229,1082
0.34404,rec,0,38229,1105
0.34434,rec,0,38229,1061
0.34463,rec,0,38229,1089
0.34492,rec,0,38229,1158
0.34521,rec,0,38229,1023
0.34552,rec,0,38229,1081
0.34582,rec,0,38229,1055
0.34611,rec,0,38229,1100
0.34639,rec,0,38229,1173
0.34669,rec,0,38229,1092
0.34698,rec,0,38229,1157
0.34727,rec,0,38229,1121
0.34761,rec,0,38229,1140
0.34786,rec,0,38229,1099
0.34814,rec,0,38229,1173
0.3485,rec,0,38229,1148
0.34878,rec,0,38229,1019
0.34909,rec,0,38229,1126
0.34936,rec,0,38229,1155
0.34964,rec,0,38229,1086
0.35,rec,0,38229,1161
0.35034,rec,0,38229,1088
0.35063,rec,0,38229,1090
0.35092,rec,0,38229,1019
0.35121,rec,0,38229,1059
0.3515,rec,0,38229,1117
0.35179,rec,0,38229,1029
0.35209,rec,0,38229,1050
0.3524,rec,0,38229,1056
0.35269,rec,0,38229,1101
0.35298,rec,0,38229,1060
0.35324,rec,0,38229,1120
0.35352,rec,0,38229,1109
0.35386,rec,0,38229,1122
0.35411,rec,0,38229,1103
0.35439,rec,0,38229,1143
0.35469,rec,0,38229,1117
0.35498,rec,0,38229,1133
0.35524,rec,0,38229,1100
0.35553,rec,0,38229,1136
0.35583,rec,0,38229,1098
0.35609,rec,0,38229,1110
0.35633,rec,0,38229,1116
0.3566,rec,0,38229,1066
0.35687,rec,0,38229,1048
0.35721,rec,0,38229,1109
0.35748,rec,0,38229,1049
0.35775,rec,0,38229,1032
0.35802,rec,0,38229,1062
0.35841,rec,0,38229,992
0.35869,rec,0,38229,1049
0.35893,rec,0,38229,1025
0.35919,rec,0,38229,987
0.35943,rec,0,38229,1121
0.35969,rec,0,38229,1106
0.35993,rec,0,38229,1070
0.36018,rec,0,38229,1012
0.36043,rec,0,38229,1098
0.36069,rec,0,38229,1119
0.36098,rec,0,38229,1125
0.36125,rec,0,38229,1126
0.36152,rec,0,38229,1200
0.36185,rec,0,38229,1127
0.36213,rec,0,38229,1156
0.36239,rec,0,38229,1152
0.36265,rec,0,38229,1075
0.36293,rec,0,38229,1158
0.36318,rec,0,38229,1067
0.36345,rec,0,38229,1093
0.36373,rec,0,38229,1061
0.36398,rec,0,38229,1051
0.36424,rec,0,38229,1077
0.36452,rec,0,38229,1116
0.36483,rec,0,38229,1071
0.36508,rec,0,38229,1172
0.36535,rec,0,38229,1134
0.3656,rec,0,38229,1057
0.36587,rec,0,38229,1062
0.36614,rec,0,38229,1040
0.36646,rec,0,38229,1061
0.36672,rec,0,38229,1006
0.36698,rec,0,38229,1005
0.36727,rec,0,38229,997
0.3675,rec,0,38229,1163
0.3678,rec,0,38229,1073
0.36806,rec,0,38229,1049
0.36832,rec,0,38229,1116
0.36858,rec,0,38229,1090
0.36885,rec,0,38229,972
0.36911,rec,0,38229,968
0.36937,rec,0,38229,1040
0.36964,rec,0,38229,1107
0.36998,rec,0,38229,1055
0.37025,rec,0,38229,1081
0.37052,rec,0,38229,1122
0.37085,rec,0,38229,1040
0.3711,rec,0,38229,1069
0.37135,rec,0,38229,1096
0.3716,rec,0,38229,1072
0.37187,rec,0,38229,1038
0.37213,rec,0,38229,975
0.37236,rec,0,38229,1044
0.37264,rec,0,38229,1066
0.37296,rec,0,38229,956
0.37321,rec,0,38229,1123
0.37345,rec,0,38229,1101
0.37372,rec,0,38229,1076
0.37397,rec,0,38229,980
0.37424,rec,0,38229,1011
0.37451,rec,0,38229,1006
0.37483,rec,0,38229,1021
0.3751,rec,0,38229,979
0.37538,rec,0,38229,942
0.37564,rec,0,38229,969
0.37598,rec,0,38229,948
0.37625,rec,0,38229,972
0.37652,rec,0,38229,1012
0.37685,rec,0,38229,971
0.3771,rec,0,38229,1068
0.37738,rec,0,38229,1123
0.37762,rec,0,38229,1125
0.37789,rec,0,38229,1046
0.3782,rec,0,38229,1069
0.37846,rec,0,38229,1042
0.37872,rec,0,38229,950
0.37897,rec,0,38229,995
0.37926,rec,0,38229,1095
0.37949,rec,0,38229,1100
0.37975,rec,0,38229,1037
0.38001,rec,0,38229,1069
0.38033,rec,0,38229,1069
0.38058,rec,0,38229,1023
0.38083,rec,0,38229,1020
0.3811,rec,0,38229,1015
0.38144,rec,0,38229,1045
0.38172,rec,0,38229,1002
0.38199,rec,0,38229,1016
0.38227,rec,0,38229,974
0.38258,rec,0,38229,981
0.38283,rec,0,38229,973
0.38308,rec,0,38229,1098
0.38335,rec,0,38229,1121
0.38361,rec,0,38229,1016
0.38387,rec,0,38229,1036
0.38414,rec,0,38229,1012
0.38445,rec,0,38229,1012
0.38472,rec,0,38229,1027
0.385,rec,0,38229,1037
0.38527,rec,0,38229,1032
0.3856,rec,0,38229,1022
0.38588,rec,0,38229,1008
0.38614,rec,0,38229,1055
0.38648,rec,0,38229,1002
0.38675,rec,0,38229,1038
0.38701,rec,0,38229,1102
0.38735,rec,0,38229,1049
0.3876,rec,0,38229,1021
0.38787,rec,0,38229,1075
0.38814,rec,0,38229,1051
0.38845,rec,0,38229,1147
0.3887,rec,0,38229,1090
0.38897,rec,0,38229,1066
0.38923,rec,0,38229,1037
0.38949,rec,0,38229,1042
0.38977,rec,0,38229,1052
0.39008,rec,0,38229,945
0.39033,rec,0,38229,1076
0.3906,rec,0,38229,1149
0.39088,rec,0,38229,1159
0.39112,rec,0,38229,1105
0.39137,rec,0,38229,1057
0.39164,rec,0,38229,1032
0.39198,rec,0,38229,1062
0.39222,rec,0,38229,1004
0.39248,rec,0,38229,990
0.39275,rec,0,38229,1134
0.393,rec,0,38229,1122
0.39324,rec,0,38229,1088
0.3935,rec,0,38229,1125
0.39377,rec,0,38229,1021
0.39411,rec,0,38229,1068
0.39435,rec,0,38229,1058
0.39462,rec,0,38229,1045
0.39489,rec,0,38229,1009
0.39523,rec,0,38229,1041
0.3955,rec,0,38229,1029
0.39574,rec,0,38229,1092
0.39603,rec,0,38229,1096
0.39633,rec,0,38229,1040
0.39659,rec,0,38229,1151
0.39684,rec,0,38229,1163
0.39711,rec,0,38229,1110
0.39737,rec,0,38229,1058
0.39765,rec,0,38229,1043
0.39799,rec,0,38229,1068
0.39826,rec,0,38229,1029
0.39857,rec,0,38229,1038
0.39886,rec,0,38229,1055
0.39914,rec,0,38229,1031
0.39945,rec,0,38229,1034
0.39974,rec,0,38229,1070
0.40003,rec,0,38229,1005
0.40037,rec,0,38229,1020
0.40063,rec,0,38229,1014
0.40092,rec,0,38229,1061
0.40122,rec,0,38229,1149
0.40151,rec,0,38229,1004
0.4018,rec,0,38229,1015
0.4021,rec,0,38229,1024
0.40237,rec,0,38229,1000
0.4027,rec,0,38229,1090
0.40299,rec,0,38229,997
0.40329,rec,0,38229,1067
0.40359,rec,0,38229,1059
0.40389,rec,0,38229,1066
0.4042,rec,0,38229,996
0.40451,rec,0,38229,1044
0.4048,rec,0,38229,1029
0.4051,rec,0,38229,1020
0.40539,rec,0,38229,1031
0.40565,rec,0,38229,1055
0.40595,rec,0,38229,984
0.40623,rec,0,38229,979
0.4065,rec,0,38229,971
0.40677,rec,0,38229,999
0.40708,rec,0,38229,1104
0.40737,rec,0,38229,1040
0.40766,rec,0,38229,1052
0.40795,rec,0,38229,1069
0.40824,rec,0,38229,1006
0.40853,rec,0,38229,1058
0.40887,rec,0,38229,1028
0.40921,rec,0,38229,1041
0.40947,rec,0,38229,1059
0.40976,rec,0,38229,1124
0.41007,rec,0,38229,977
0.41037,rec,0,38229,1047
0.41066,rec,0,38229,997
0.41097,rec,0,38229,1091
0.41124,rec,0,38229,1072
0.41153,rec,0,38229,1079
0.41211,rec,0,38229,1060
0.41242,rec,0,38229,1074
0.41268,rec,0,38229,1005
0.41291,rec,0,38229,1106
0.4132,rec,0,38229,1110
0.41349,rec,0,38229,1109
0.41372,rec,0,38229,1153
0.41397,rec,0,38229,1074
0.4142,rec,0,38229,1032
0.41445,rec,0,38229,1035
0.41469,rec,0,38229,1035
0.41497,rec,0,38229,1092
0.41524,rec,0,38229,1099
0.41552,rec,0,38229,1070
0.41585,rec,0,38229,1032
0.4161,rec,0,38229,1046
0.41635,rec,0,38229,975
0.4166,rec,0,38229,1075
0.41685,rec,0,38229,1061
0.41712,rec,0,38229,1063
0.41736,rec,0,38229,1081
0.4176,rec,0,38229,988
0.41785,rec,0,38229,992
0.4181,rec,0,38229,1008
0.41835,rec,0,38229,1073
0.41864,rec,0,38229,1124
0.41896,rec,0,38229,1116
0.41921,rec,0,38229,1073
0.41946,rec,0,38229,1107
0.41972,rec,0,38229,1018
0.41998,rec,0,38229,966
0.42027,rec,0,38229,1040
0.4206,rec,0,38229,1069
0.42085,rec,0,38229,1018
