t,value
0.19034,32767
0.19062,32767
0.19096,32767
0.19126,32767
0.19158,32767
0.19187,32767
0.19221,32767
0.19249,32767
0.19283,32767
0.19310,32767
0.19339,32767
0.19368,32767
0.19398,32767
0.19433,32767
0.19461,32767
0.19491,32767
0.19520,32767
0.19548,32767
0.19575,32767
0.19606,32767
0.19635,32767
0.19664,32767
0.19692,32767
0.19718,32767
0.19748,32767
0.19777,32767
0.19806,32767
0.19835,32767
0.19865,32767
0.19893,32767
0.19918,32767
0.19945,32767
0.19973,32767
0.20000,32767
0.20029,32767
0.20058,32767
0.20087,32767
0.20118,32767
0.20147,32767
0.20173,32767
0.20203,32767
0.20233,32767
0.20262,32767
0.20295,32767
0.20320,32767
0.20349,32767
0.20383,32767
0.20412,32767
0.20443,32767
0.20472,32767
0.20502,32767
0.20531,32767
0.20560,32767
0.20589,32767
0.20618,32767
0.20645,32767
0.20678,32767
0.20706,32767
0.20736,32767
0.20762,32767
0.20795,32767
0.20826,32767
0.20856,32767
0.20886,32767
0.20917,32767
0.20947,32767
0.20974,32767
0.21008,32767
0.21042,32767
0.21073,32767
0.21102,32767
0.21129,32767
0.21158,32767
0.21188,32767
0.21221,32767
0.21250,32767
0.21279,32767
0.21309,32767
0.21341,32767
0.21368,32767
0.21398,32767
0.21427,32767
0.21458,32767
0.21489,32767
0.21523,32767
0.21553,32767
0.21586,32767
0.21620,32767
0.21654,32767
0.21686,32767
0.21721,32767
0.21755,32767
0.21790,32767
0.21839,32767
0.21872,32767
0.21906,32767
0.21940,32767
0.21971,32767
0.22004,32767
0.22039,32767
0.22074,32767
0.22107,32767
0.22138,32767
0.22168,32767
0.22200,32767
0.22237,32767
0.22275,32767
0.22310,32767
0.22357,32767
0.22395,32767
0.22443,32767
0.22484,32767
0.22527,32767
0.22561,32767
0.22601,32767
0.22641,32767
0.22678,32767
0.22716,32767
0.22750,32767
0.22780,32767
0.22811,32767
0.22842,32767
0.22870,32767
0.22898,32767
0.22927,32767
0.22956,32767
0.22985,32767
0.23015,32767
0.23043,32767
0.23073,32767
0.23102,32767
0.23129,32767
0.23157,32767
0.23186,32767
0.23215,32767
0.23242,32767
0.23271,32767
