t_s,adcr
4.146871199976886,52
4.147142100002384,-9
4.147397099994123,-13
4.147661299997708,-12
4.1479357999924105,-12
4.148266099975444,13
4.1485349999857135,4
4.148802599986084,15
4.1491401999956,-53
4.149414199986495,-63
4.149680099973921,-70
4.150016899977345,-32
4.150285599986091,-18
4.150562099996023,1
4.150870599987684,13
4.1511436000000685,36
4.151417199987918,15
4.151680199982366,-6
4.152015899977414,-36
4.152294899977278,-17
4.152551299979677,48
4.152808199985884,75
4.153122699994128,-5
4.153393699991284,-37
4.153669399995124,-77
4.15390699999989,15
4.154189199995017,43
4.154500599979656,-51
4.154768999986118,-31
4.155017799988855,-56
4.155300299986266,-98
4.15556239997386,-68
4.15585059998557,-1
4.156121999985771,-67
4.156392699980643,-73
4.156648999982281,-81
4.156916599982651,-47
4.157183099974645,-47
4.1574334999895655,-54
4.157769199984614,12
4.158034399995813,8
4.158314599975711,39
4.158623999974225,32
4.158881099981954,20
4.159144799981732,1
4.159415399975842,24
4.159740499977488,25
4.160159399994882,26
4.160617499990622,22
4.161013399978401,7
4.1613671999948565,9
4.161673199996585,-53
4.161985099985031,-24
4.162292599998182,7
4.162554699985776,46
4.162833399983356,72
4.163117699994473,4
4.163390499976231,6
4.163662199978717,-24
4.163932899973588,-1
4.164264799997909,-78
4.1645138999738265,11
4.1647644999902695,-7
4.165037899976596,-8
4.16530339999008,-15
4.165639299986651,-60
4.165894399979152,-63
4.166167199990014,16
4.166434399987338,-5
4.166766399983317,-40
4.167040999978781,-6
4.167310499993619,-8
4.167642099986551,23
4.167915999976685,23
4.168159699998796,75
4.168435799976578,85
4.1687676000001375,62
4.169040999986464,14
4.16930899998988,22
4.169645299989497,-13
4.169892899983097,-29
4.170149899990065,-93
4.170413899992127,31
4.17068239999935,9
4.171000899979845,-36
4.171248500002548,-79
4.171524399978807,-77
4.171768799977144,-31
4.17201889998978,-12
4.172296299977461,-43
4.172579599980963,-25
4.172850099974312,-44
4.173122999985935,-32
4.173393199976999,-52
4.173650999990059,-68
4.173917599982815,-81
4.174164500000188,21
4.174460399983218,-22
4.1747780999867246,-26
4.1750743000011425,3
4.175372500001686,-2
4.175623399991309,52
4.175898299989058,35
4.176147199992556,15
4.176469799975166,-9
4.177347999997437,5
4.177787900000112,39
4.178276799997548,2
4.1789508999791,15
4.179295899986755,-7
4.179631899984088,-40
4.179911999992328,9
4.180166999984067,-8
4.180432900000596,-36
4.1807668999827,30
4.181040399998892,35
4.181308499973966,33
4.181644500000402,-6
4.181914099986898,37
4.182180299976608,2
4.182519399997545,-48
4.182789099984802,-30
4.183058399998117,-45
4.183393399987835,39
4.183671499980846,51
4.183914299996104,20
4.1841826000018045,52
4.184522700001253,26
4.184768599981908,-14
4.1850465000025,1
4.185293099988485,70
4.1855587999743875,62
4.185893399990164,17
4.186163899983512,23
4.186433099996066,24
4.186767399980454,-43
4.187023999984376,-18
4.187287299981108,-75
4.187536999990698,-11
4.187770299991826,-82
4.188051499979338,-82
4.188311399979284,26
4.188626599992858,-39
4.188898499996867,-43
4.189147600001888,-104
4.18941759999143,-91
4.189686999976402,-82
4.190033399994718,-26
4.1903102999785915,-19
4.190647299983539,98
4.1908944999740925,76
4.191166499978863,42
4.19141299999319,22
4.1916686999902595,39
4.19193189998623,9
4.192168099980336,13
4.192417599988403,-34
4.192659899999853,-36
4.1929469000024255,-39
4.193344400002388,-6
4.193772099999478,-24
4.194653699989431,8
4.195069499983219,-15
4.195498199987924,-8
4.195773699990241,26
4.196044699987397,30
4.196289699990302,-8
4.196555199974682,-8
4.196871799998917,66
4.197125199978473,53
4.197430899977917,-5
4.197704799997155,47
4.197980400000233,59
4.198246299987659,53
4.1985183999931905,77
4.198791799979517,72
4.199034799996298,61
4.199289099982707,-1
4.199555799976224,24
4.199874999991152,41
4.200142799993046,44
4.2004201999807265,30
4.200688499986427,38
4.2009986999910325,-73
4.201251999998931,42
4.20149749997654,33
4.201767499995185,14
4.2020238999975845,-35
4.202272099995753,71
4.202538299985463,37
4.202816099976189,72
4.203124099993147,-38
4.203391399991233,-53
4.203662999992957,-85
4.203931800002465,-79
4.204270399990492,-46
4.204516999976477,-16
4.20479359998717,-54
4.205039099993883,-27
4.205379199993331,-86
4.205653799988795,36
4.205933299992466,40
4.206251999974484,66
4.206496699975105,36
4.20676969998749,-17
4.207038599997759,-25
4.207308499986539,-9
4.207644599984633,-76
4.207912899990333,-78
4.208187399985036,-90
4.208521099993959,-58
4.2087873999844305,-40
4.209066899988102,-41
4.209374599973671,-11
4.209723799984204,0
4.210018699988723,-17
4.210402999975486,-110
4.211039299989352,-14
4.211530799977481,-7
4.212079499993706,-16
4.212441499985289,-17
4.21275649999734,23
4.213040199974785,37
4.213290899991989,28
4.213560399977723,5
4.213872499996796,-62
4.214140899974154,46
4.21441329998197,19
4.2146821999922395,13
4.215016799978912,-31
4.215293399989605,3
4.215552699984983,-4
4.215895399975125,0
4.216164399986155,4
4.216434699977981,20
4.216772099985974,-9
4.217019399977289,91
4.217271399975289,49
4.217517799988855,10
4.217780099977972,50
4.218056199984858,51
4.218376199976774,52
4.218626499990933,25
4.218877199979033,83
4.2191222999827005,45
4.219392300001346,92
4.219663999974728,58
4.219932799984235,65
4.220289799995953,-31
4.220600899978308,-114
4.22085309997783,-87
4.221101499977522,-29
4.221372799976962,-4
4.2216446999809705,-28
4.22191429999657,-37
4.222178399999393,-25
4.222533199994359,-66
4.2228536999900825,10
4.223148599994602,9
4.223393499996746,50
4.223664999997709,35
4.223935499991057,55
4.224274799984414,22
4.224521600001026,15
4.224776399991242,-32
4.225023599981796,84
4.2252830999786966,47
4.2256043999805115,-11
4.2258963999920525,-6
4.2261678999930155,-56
4.226424599997699,-37
4.226953599980334,-62
4.22767159997602,-49
4.2282025999738835,-33
