t,leg,z,mean
1789782616.891,up0,6100,23
1789782616.916,up0,6200,27
1789782616.942,up0,6300,-3
1789782616.964,up0,6400,15
1789782616.987,up0,6500,22
1789782617.013,up0,6600,38
1789782617.037,up0,6700,27
1789782617.06,up0,6800,19
1789782617.081,up0,6900,24
1789782617.103,up0,7000,24
1789782617.126,up0,7100,21
1789782617.149,up0,7200,28
1789782617.173,up0,7300,29
1789782617.195,up0,7400,24
1789782617.219,up0,7500,18
1789782617.244,up0,7600,26
1789782617.267,up0,7700,20
1789782617.291,up0,7800,17
1789782617.317,up0,7900,21
1789782617.341,up0,8000,18
1789782617.364,up0,8100,10
1789782617.387,up0,8200,20
1789782617.409,up0,8300,21
1789782617.433,up0,8400,15
1789782617.456,up0,8500,17
1789782617.479,up0,8600,26
1789782617.502,up0,8700,16
1789782617.525,up0,8800,30
1789782617.548,up0,8900,29
1789782617.571,up0,9000,16
1789782617.593,up0,9100,24
1789782617.617,up0,9200,18
1789782617.639,up0,9300,28
1789782617.66,up0,9400,20
1789782617.683,up0,9500,22
1789782617.705,up0,9600,29
1789782617.729,up0,9700,18
1789782617.752,up0,9800,14
1789782617.775,up0,9900,12
1789782617.798,up0,10000,28
1789782617.82,up0,10100,34
1789782617.842,up0,10200,24
1789782617.865,up0,10300,19
1789782617.888,up0,10400,20
1789782617.912,up0,10500,35
1789782617.936,up0,10600,33
1789782617.96,up0,10700,19
1789782617.984,up0,10800,29
1789782618.008,up0,10900,25
1789782618.031,up0,11000,22
1789782618.053,up0,11100,14
1789782618.077,up0,11200,25
1789782618.098,up0,11300,22
1789782618.122,up0,11400,18
1789782618.148,up0,11500,35
1789782618.174,up0,11600,35
1789782618.198,up0,11700,35
1789782618.22,up0,11800,18
1789782618.246,up0,11900,29
1789782618.272,up0,12000,19
1789782618.295,up0,12100,34
1789782618.32,up0,12200,16
1789782618.345,up0,12300,23
1789782618.369,up0,12400,25
1789782618.393,up0,12500,33
1789782618.416,up0,12600,36
1789782618.44,up0,12700,32
1789782618.463,up0,12800,23
1789782618.486,up0,12900,30
1789782618.51,up0,13000,16
1789782618.533,up0,13100,16
1789782618.556,up0,13200,21
1789782618.577,up0,13300,25
1789782618.601,up0,13400,30
1789782618.625,up0,13500,20
1789782618.647,up0,13600,12
1789782618.669,up0,13700,26
