t_s,adcr
0.0519479000067804,22
0.05229279998457059,74
0.052554900001268834,8
0.05290019998210482,-58
0.0532107999897562,-18
0.053513199993176386,9
0.053846499999053776,-9
0.054172500007553026,3
0.05449300000327639,-59
0.05489470000611618,10
0.05521029999363236,-29
0.055440900003304705,-115
0.055683799990219995,-1
0.05591689998982474,-65
0.05615839999518357,49
0.05638669998734258,35
0.05663770000683144,21
0.05688799999188632,10
0.05713949998607859,-45
0.05738949999795295,-44
0.05764220000128262,-41
0.05789039999945089,-99
0.05813990000751801,-41
0.05838989999028854,-57
0.05862749999505468,13
0.05885099997976795,57
0.059182099997997284,-26
0.05943019999540411,20
0.05967590000363998,1
0.059905200003413484,75
0.060133199993288144,15
0.06030089998967014,8
0.06052899998030625,68
0.06071200000587851,-1
0.060949299979256466,-43
0.061182100005680695,-21
0.06140509998658672,-17
0.06163310000556521,79
0.06180110000423156,-11
0.062029399996390566,4
0.06227969998144545,-35
0.06250840000575408,20
0.06268959998851642,73
0.06290749998879619,39
0.06311319998349063,5
0.06334110000170767,-87
0.0635826000070665,24
0.06380159998661838,73
0.06405200000153854,33
0.06430229998659343,58
0.06455229999846779,24
0.0647809999936726,-7
0.06504620000487193,-34
0.0652637000021059,-87
0.06551260000560433,1
0.06576399999903515,22
0.06601340000634082,43
0.06626849999884143,33
0.06650169999920763,50
0.06672099998104386,-31
0.06705680000595748,0
0.06730669998796657,21
0.06755859998520464,44
0.06778799998573959,17
0.06803860000218265,-35
0.06828869998571463,-63
0.06852109997998923,-11
0.0687700999842491,-31
0.06917459997930564,28
0.06946870000683703,4
0.06983679998666048,25
0.07011050000437535,-41
0.07038590000593103,-82
0.07071579998591915,-47
0.0709824999794364,-34
0.07132809999166057,-8
0.07158719998551533,2
0.07183390000136569,38
0.07208049998735078,19
0.07231459999457002,43
0.07255969999823719,-48
0.07280949997948483,-17
0.07301959997857921,-50
0.07326829998055473,-99
0.07349720000638627,-10
0.07374520000303164,94
0.0739762999874074,-11
0.07430929999100044,-63
0.07456119998823851,8
0.07481069999630563,11
0.07504440000047907,66
0.07528999997884966,-2
0.07554029999300838,38
0.07579079997958615,-18
0.0760184999962803,-13
0.07627039999351837,3
0.07650120000471361,-22
0.07674889999907464,68
0.0769797999819275,18
0.07731719998992048,-69
0.07761269999900833,-64
0.07785179998609237,0
0.07811000000219792,20
0.07845129998167977,-26
0.07867089999490418,-50
0.0789199999999255,9
0.07915129998582415,66
0.07938119999016635,34
0.07960800000000745,73
0.07994860000326298,26
0.080138999997871,35
0.08036570000695065,-2
0.08070359998964705,3
0.08096960000693798,2
0.08119929998065345,-21
0.0814284999796655,-18
0.08167670000693761,-31
0.08188700000755489,-95
0.08215370000107214,31
0.08240559999831021,-16
0.08261069998843595,18
0.08294849999947473,-12
0.0831756999832578,19
0.08343119997880422,9
0.08369499997934327,-2
0.08394429998588748,62
0.0842003999860026,55
0.08442569998442195,36
0.08463599998503923,-84
0.08486060000723228,-51
0.08518239998375066,-54
0.0854494999803137,-38
0.08584469999186695,-12
0.08618650000425987,23
0.08655939999152906,-37
0.08695339999394491,-9
0.08731830000760965,-5
0.08762059998116456,56
0.08795549999922514,10
0.0882823999854736,-82
0.08857689998694696,-15
0.0888453999941703,-26
0.08910929999547079,8
0.08936399998492561,-53
0.08963559998665005,-34
0.08991559999412857,-24
0.09017959999619052,-34
0.09044969998649321,-29
0.09067669999785721,-48
0.09093119998578914,-40
0.09119770000688732,33
0.09142660000361502,-38
0.09170170000288635,-91
0.0919813999789767,-78
0.09224919998086989,-42
0.09258029999909922,-56
0.09285289997933432,-61
0.09312189999036491,-20
0.09345739998389035,52
0.09372730000177398,58
0.0939788999967277,13
0.09424119998584501,42
