t,cycle,phase,z,adc
11.0485,7,pre,0,32767
11.0531,7,pre,0,32767
11.058,7,pre,0,32767
11.063,7,in,4,32767
11.0688,7,snap,0,32767
11.0742,8,in,0,32767
11.0791,8,pre,0,32767
11.0839,8,pre,0,22880
11.0887,8,pre,0,1787
11.0933,8,pre,0,1046.6
11.0979,8,pre,0,455
11.1021,8,in,4,96.6
11.1068,8,in,8,72.4
11.1122,8,in,12,132.2
11.1176,8,in,16,226.4
11.1232,8,in,20,211.4
11.1284,8,in,24,502.2
11.1337,8,in,28,3454.8
11.1396,8,out,24,12787.6
11.145,8,snap,0,31704.6
11.1506,9,in,0,32767
11.1561,9,pre,0,32767
11.1612,9,pre,0,32660
11.1666,9,pre,0,25753.2
11.1725,9,pre,0,7469.6
11.1778,9,pre,0,1014
11.1829,9,pre,0,1148
11.1879,9,pre,0,345.6
11.193,9,in,4,386.8
11.1977,9,in,8,258.8
11.2022,9,in,12,220.8
11.2068,9,in,16,851
11.2117,9,in,20,3473.6
11.2163,9,out,16,5649.6
11.2203,9,out,12,32375.4
11.225,9,snap,0,32767
11.2301,10,in,0,32767
11.2357,10,pre,0,32767
11.2409,10,pre,0,32767
11.2458,10,pre,0,32767
11.2516,10,pre,0,32767
11.2573,10,pre,0,32767
11.2622,10,pre,0,32767
11.2678,10,pre,0,32767
11.2733,10,pre,0,32767
11.2788,10,pre,0,32767
11.2844,10,pre,0,32767
11.2896,10,pre,0,32767
11.2948,10,pre,0,32767
11.3002,10,pre,0,32767
11.3059,10,pre,0,32767
11.3111,10,pre,0,32767
11.3166,10,pre,0,32767
11.3227,10,pre,0,32767
11.3286,10,pre,0,32767
11.3342,10,pre,0,32767
11.3403,10,pre,0,32767
11.3458,10,in,4,32767
11.3518,10,snap,0,32767
11.3576,11,in,0,32767
11.3635,11,pre,0,32767
11.3692,11,pre,0,32767
11.3742,11,pre,0,32767
11.3795,11,pre,0,32767
11.3852,11,pre,0,32767
11.3905,11,pre,0,32767
11.3958,11,pre,0,32767
11.4009,11,pre,0,32767
11.4059,11,pre,0,32767
11.4119,11,pre,0,32767
11.4172,11,pre,0,32767
11.4219,11,pre,0,32767
11.4259,11,pre,0,32767
11.4303,11,pre,0,32767
11.4352,11,pre,0,32767
11.4401,11,pre,0,32767
11.4458,11,pre,0,32767
11.451,11,pre,0,32767
11.4561,11,pre,0,32767
11.461,11,pre,0,32767
11.466,11,in,4,32767
11.4714,11,snap,0,32767
11.476,12,in,0,32767
11.4808,12,pre,0,32767
11.4863,12,pre,0,32767
11.4915,12,pre,0,32767
11.4964,12,pre,0,32767
11.5014,12,pre,0,32767
11.5065,12,pre,0,32767
11.5118,12,pre,0,32767
11.5166,12,pre,0,32767
11.5216,12,pre,0,32767
11.5267,12,pre,0,32767
11.5311,12,pre,0,32767
11.5359,12,pre,0,32767
11.5412,12,pre,0,32767
11.546,12,pre,0,32767
11.5514,12,pre,0,32767
11.5571,12,pre,0,32767
11.5626,12,pre,0,32767
11.5686,12,pre,0,32767
11.5744,12,pre,0,32767
11.5792,12,pre,0,32767
11.5849,12,in,4,32767
11.5902,12,snap,0,32767
11.5952,13,in,0,32767
11.6008,13,pre,0,32767
11.607,13,pre,0,32767
11.6124,13,pre,0,32767
11.618,13,pre,0,32767
11.6233,13,pre,0,32767
11.6284,13,pre,0,32767
11.633,13,pre,0,32767
11.6391,13,pre,0,32767
11.6446,13,pre,0,32767
11.6499,13,pre,0,16675.8
11.6557,13,pre,0,16540.4
11.6611,13,pre,0,16682.2
11.6662,13,pre,0,32767
11.6721,13,pre,0,32767
11.6778,13,pre,0,32767
11.6832,13,pre,0,32767
11.6893,13,pre,0,32767
11.695,13,pre,0,32767
11.7006,13,pre,0,31361
11.706,13,pre,0,4967.8
11.7118,13,in,4,2281
11.7175,13,out,0,1517.2
11.7228,14,in,0,1467.8
11.7285,14,pre,0,1316.4
11.734,14,pre,0,1314.2
11.7387,14,pre,0,1228.4
11.7437,14,pre,0,878.2
11.7486,14,in,4,929.8
11.7535,14,in,8,682
11.7577,14,in,12,469.8
11.7623,14,in,16,566.4
11.7669,14,in,20,657
11.7713,14,in,24,591.6
11.7754,14,in,28,560.2
11.78,14,in,32,883.8
11.7847,14,in,36,1045.4
11.7898,14,out,32,496.2
11.7965,14,out,28,598
11.8014,14,out,24,803.4
11.8066,14,out,20,634.8
11.8116,14,out,16,653.6
11.8166,14,out,12,502.4
11.8215,14,out,8,205.4
11.8262,14,out,4,173.6
11.8313,14,out,0,144.4
11.8362,15,in,0,172.4
11.8412,15,in,4,133.4
11.846,15,in,8,247
11.8514,15,in,12,110.6
11.8578,15,in,16,90
11.8623,15,in,20,9.2
11.8684,15,in,24,51.8
11.8745,15,in,28,-0.4
11.8794,15,in,32,26.4
11.8838,15,in,36,10.2
11.8882,15,in,40,27.6
11.8924,15,in,44,28.8
11.8966,15,in,48,535
11.901,15,in,52,266.8
11.906,15,in,56,183
11.9113,15,in,60,392.4
11.9164,15,in,64,948.2
11.9216,15,in,68,3255.6
11.9264,15,out,64,20603.2
11.9322,15,snap,0,29452.4
11.9371,16,in,0,32767
11.9423,16,pre,0,32767
11.9471,16,pre,0,32767
11.9516,16,pre,0,32767
11.9561,16,pre,0,32767
